"Geneid" "1.sam" "2.sam" "3.sam" "4.sam" "5.sam" "6.sam" "7.sam" "8.sam" "9.sam" "10.sam" "11.sam" "12.sam" "13.sam" "14.sam" "15.sam" "16.sam" "17.sam" "18.sam" "19.sam" "20.sam" "21.sam" "22.sam" "23.sam" "24.sam"
"RMER1A" 61.17 61.23 97 64.45 75.17 83.23 56.7 66.55 54.3 146.73 28 37 57.75 84.4 46.5 29.95 42.93 99 75.98 74.7 77.93 36.73 153.43 28.67
"G-rich" 24.77 19.38 111.13 91.85 19.73 99.2 297 36.07 64.82 88.73 53 14.2 45.35 14 65 65.13 79.85 90.8 61.2 117.3 133.38 58 163.67 89.13
"YREP_Mm" 3 4 23 9 19 8 0 7 7.5 6 0 12 12 8 5 3 1 23 12.6 13 6.23 0 16 12
"L1_Rod" 125.83 109.8 189.15 138.15 129.1 159.5 212 169 96.17 210.77 80.6 336.23 173.33 46.5 124 55.63 78.48 130.4 152.95 153.35 130.1 109.2 260.17 111.35
"Lx3C" 65.68 41.13 104.5 67.6 63.4 87.18 132.33 66.9 77.03 89 46.7 60.72 76.4 54.2 11.8 80.97 69.52 84.1 58.25 83.6 92.98 56.3 151.93 82.17
"Charlie2b" 6 5 56 4 12 11 0 17 7 22 7 13 19 15 20 15 10 0 9 10 14 0 35.25 14
"MER3" 90.5 50 106.33 93 85 132.67 0 88.5 94 109.25 41.5 114 110 29.5 51 130.5 87.17 44 113.5 76.5 110.83 54 216.17 142.5
"URR1B" 332.9 216.98 463.32 721.12 382.3 667.95 598.25 572.45 419.67 585.25 187.57 397.32 467.88 241.25 347.05 519.58 537.28 599.42 650.8 552.03 1029.82 216 1083.2 617.2
"L1MEd" 41.9 37 138.38 53.58 28 69.7 8 76 67.4 113.95 16.2 64 55 12.2 105 103 71.5 122 91 39.33 119.75 52 158.63 84.5
"GC_rich" 376 120.6 1917.5 645.53 391.5 845.2 1078 497.5 570.75 1050.67 380 109 298.28 189 890 565.33 591.58 554 538.17 661.33 1286.7 515.5 1487.57 587.5
"MLT1D" 310.1 98.2 526.87 614.95 226 411.5 346 399 367.5 390.33 98 158 302.5 137 290 655.03 403.1 277 388 455 629.9 129 771.63 338
"ORR1E" 697.65 222.9 882.5 1087.3 464.53 954.95 1093.87 766.57 664.38 730.52 191.48 383.27 464.1 246.38 359.23 829.12 853.38 1063 719.67 769.63 1361.53 393.63 1607.93 777.77
"BLACKJACK" 0 10 34 2 12 5 0 23 2 17 0 6 10 0 21.2 7 9 10 1 7 17.2 7 3 0
"ORR1E-int" 20.6 16.2 7.6 12.63 21 30.4 93.33 30.2 15.8 20.33 13.4 32.2 31 7 22 35.6 24.15 42.6 37.9 6.9 23.5 12 60.8 13.6
"(TA)n" 42.17 23.2 81.43 73.2 34.5 87.87 60 65.03 32.9 94.95 44.33 134.6 69.9 10 113 58.2 41.75 178.67 113.4 115.05 125.7 26 114.8 64
"MLT1A1" 87.5 55.5 72.33 98.5 40.5 135.25 72 136.5 91 132.5 34 136 107 22 15 71.83 89.5 122 111 73.5 181.5 38 214.87 24
"MER5A" 124.67 70 207.5 155.5 105.2 181 107 141 135 214.5 65.5 75 137 78 209 67 128.5 202.33 195.6 147 192.1 102 282 149
"MLT1K" 278 42 342 538 191 379 689 248.5 251.1 235 77 56 212.5 88 231 537 391 397 361.5 442 636 156 742.5 409
"MLT1B" 337.8 97.7 357.6 701.9 344 498.9 1071.5 395 380 393.17 134 314 308 145 296 517.9 486.1 437 423.47 481.33 851.1 292 1034.1 513.25
"Lx8b" 447.75 210.55 703.43 599.1 243.13 684.18 93.08 423.93 349.2 470.97 148.7 379.6 548.82 153 344.2 428.58 425.48 600.57 532.48 429 693.95 254 1098.77 478.77
"Lx2B2" 124.23 76.05 152.13 169.47 83.1 209.93 394.57 102.63 99.02 183.6 50.5 192.13 138.7 41.4 217.3 90.1 115.27 163.5 146.92 107.68 287.45 137.3 285.25 217.13
"MLTR25C" 3 10 3 5 0 5.67 0 7 10 0 3 8 17 7 0 1 5 2.8 11 5 5 0 12.2 0
"(CAAAA)n" 21.65 29.67 35.7 21.43 23.8 45.9 1 18 18 43.7 20 51.8 71 13.4 32 38.53 27.6 106.85 34.45 20.45 87.03 3.9 92.47 16.67
"RMER12" 16.4 21.5 67 51.4 20.65 40.45 8 38.3 26.4 36.15 18.4 43.2 48.07 4 1.4 18.8 26.15 71.4 44.07 51.6 34.7 0.5 82 10.2
"MTEa" 328.88 154.83 420.1 628.18 326.83 552.88 782 474.23 357.92 445.05 148.65 281.45 420.13 221 396.93 542.12 482.7 536.67 454.45 513 876.47 270.23 969.12 349.68
"B1_Mur2" 571.92 354.8 991.07 684.78 687.35 922.48 591.4 723 604.05 922.23 331.95 743.9 850.28 326.33 505.53 400.58 633.73 861.33 673.3 640.63 711.2 394.03 1374.33 465.35
"RMER5" 142.2 68.47 89 198.5 126.33 204.7 26 131.5 155.5 147 54.5 170 136 36 117 91.6 137.5 122.2 135.5 177 197.83 46 336.5 63
"L1M2" 1018.37 326.5 1380.5 2503.85 833.5 1961.72 2408.5 1575.9 1189.38 1548.03 310.13 584.15 862.12 594.33 1294.1 1775.35 1725.48 2135 1519.1 1723 3288.28 599 3212.52 1391.8
"(GTTTG)n" 2.8 6 0.6 1 4 3 0 6 0.4 0.2 0 7 10 25 14.6 7 2.5 9 1 0.2 6.4 0.5 5.45 6.6
"RMER20B" 13 6 41.2 8 4 15.5 0 14 24.5 7 4 25 21 0 29 5 4 25 15.5 9.5 27 3.5 41.5 6
"RMER12B" 25 25 14.5 17 32 32.1 169 58.2 24.2 66.2 37 18 39.4 23 74 21 21.2 20 19 22.5 28 43 31.5 22.6
"RLTR16" 7.2 5 34.6 10.8 6 13.83 0 19 14 29 16.25 37.5 16 0 5.85 19.2 17.05 2 17.1 19 28.13 13.4 32.6 29
"MTE2b" 274.08 145.62 414.4 507.13 237.87 385.65 437.67 325.82 286.15 417.77 113.08 295 357.67 137.73 291.33 347.12 336.72 435.13 312.77 386.33 655.72 195.5 733.1 286.02
"URR1A" 199.5 189.15 357.15 285.65 255.1 383.2 240.75 325.68 223.73 415.52 159.03 485.28 500.87 153.25 326.55 174.17 243.77 326.28 336.77 269.47 363.05 122.78 560.47 212.1
"(GTGTG)n" 0 0 0 0 0 7.6 0 0 1 0 2 0 3 0 0 0 1 0 4 0 1 0 1 0
"RLTR51A_Mm" 10.2 3.5 14 15.5 17 32.43 0 17.5 18.9 22.2 6 1.5 2.75 1.5 13.8 2.47 15.78 24 15 10.5 14.8 0 43.73 7.5
"Charlie15b" 1.5 2 7 9 10 5 0 0 2 1 1 8 2 0 0 0 4 6 15 0 5 23 6 0
"L3b" 45 66 50 73.6 112 62 83 93 48 120 24 153 94.25 41 95 64 70.67 59 91 91 54 28 147 43
"MusHAL1" 16.1 44.1 39.15 21.17 29.9 38.37 52.5 77.77 24.32 59.67 36.05 55.15 92.7 22.3 15.6 21.72 30.83 27.35 30.38 14.2 47.28 22 69.37 32.6
"ORR1F" 1232 326.7 1757.25 2854.13 946.6 1994.02 1644 1415.12 1146.92 1171.62 359.7 339.2 945.37 548.5 887.08 2041.47 1861.57 1673.87 1635.83 1839 3056.02 789.17 3688.72 1675.58
"L1MB4" 23 20 119 51 87 72.28 43 55 46 87.33 21 73.83 84.5 26 62 41 35.67 57 63 13 37.4 20 104 28
"(TTATA)n" 0 0 0 0 2 3 0 0 1 0 0 0 5 0 0 7 1 0 1 9 3 1 1 0
"RMER10B" 56.4 25.4 28 66.55 24 80.55 0 54.4 32.6 81.25 17 12.8 46.75 9 25 37 74.7 54 65 54.93 60 38 107.8 28.6
"RLTR11B" 3 11.2 32 12 3 24 64 27.67 10 11.6 4 11 23 0 0 7.6 12.7 19 32 25 16 20 32.2 51.25
"Plat_L3" 2.25 6 0 4 7 10.58 23 8 2 5.75 0 1 11.5 1 53.25 8.25 12 10 13 9 18.08 18 9.5 8
"(TATG)n" 215.3 31.5 117.43 120.93 25.2 102.88 32 43.9 45 46.47 10.2 153.33 51.6 9.2 91.6 49.53 97.68 105.92 113.58 108.93 132.2 105.2 172.47 74.87
"LTR33A" 0 2 8 1 0 4 0 0 7 7 2 3 0 0 24 0 0 0 5 7 11 0 17 4
"L1MEg" 42 45.25 133 162.17 52.33 124.1 208 92.25 88.15 89.73 36.8 104.73 141.2 46.2 136 152.83 122.25 91 138.37 121.8 245.4 45 220.35 60.5
"L1MA7" 58 20 77 45.4 44 44.4 66 69 48 106 28.5 113 89.5 20 47 41 48.5 103 59 52 80.67 29 135 47
"RCHARR1" 123 78.2 210 91.9 99.5 137.87 162 229 110.2 132.5 105 231.6 226 117 118 83.5 121.45 235 126 96 179.2 92 262.95 132
"MTB_Mm" 109.7 46.1 179.67 138.05 66.57 173.97 372.2 95.47 106.3 105.63 54.4 117.87 102.77 29.6 64 116.77 91.58 168.95 104.22 112.03 182.1 91.7 186.63 118.12
"L2b" 396.75 173.5 671 1049.08 332 831.17 804.5 640.73 477 537 199 262 496.5 146 382.5 811.5 737 815.5 718 745 1082.03 419.2 1363.75 924.67
"L3" 179 128.4 284.2 183.77 171.4 314.92 178.7 172.5 137.5 331.25 46.9 248.25 191 113.5 400 146 156.33 181.8 192.25 140.4 214.1 69.8 485.63 215.4
"ERVL-E-int" 5 1 6 2 9 5 0 10 3 12 7 4 4 1 0 10 4 15 3 27 19 0 14 2
"RLTR11A" 17.2 22.93 46 25 36 67.73 0 68 17 51 16 125.5 16.92 32 0 22 28.2 75.4 55.05 11 36.73 42 102.95 41
"L1MA8" 31 33.83 32 46.5 51 63 28 40 43.37 68.5 12 184 116 48 90 23 30.5 93.4 64 42 74.45 32 110 40
"ORR1A4" 115 52.62 96 136.03 123.37 146.2 165.1 182.47 97.1 172.73 60.43 148 145.13 32 154.6 108.43 128.32 176.98 138.67 138.2 171.58 75.73 309.18 126
"MTD-int" 46.4 33.2 50.1 49.5 35 50.9 1 66.5 44.53 77 10 97 119 5.03 8 19.33 36.27 48.95 60.27 36.2 32.27 41.33 98.23 42.4
"L1M4" 228.87 179 372 510.25 226.1 495.53 705.2 393.3 324.55 589.2 174.6 704 408.5 149 324 404 331.8 491.8 416.8 347.2 560.97 301.75 750.85 308.33
"(TATATG)n" 2143.5 246.8 3216.8 2240.33 1643.75 1958.13 1027 825.07 1115.03 641.95 81.2 212.67 279.6 156.4 796.13 752.8 1110.85 1396.53 1221.97 2108.37 2856.9 1057.4 2185.95 1161.87
"(CAGAGA)n" 17.4 8.4 54.57 13.6 5.6 30.53 92.17 14.53 18.33 48.9 20.2 26 16.2 25 0.25 9.7 12.3 18.6 27.13 13.2 34.87 5.4 41.4 5.9
"B1_Mm" 149.15 143.4 484.35 421.05 231.27 342.67 242.5 308.98 294.45 503.75 166.78 351.52 359.57 151.92 322.8 300.3 292.82 428.43 374.12 362.05 489.53 123.05 683.73 273.28
"MER2" 204.5 124.85 247.9 221.2 225.7 323.98 253 249.3 201.35 363.35 111 269.8 242.93 84.8 63 187.75 216.35 248.2 207.55 231.65 266.85 122 476.82 178.75
"(A)n" 73.8 43.5 182.6 205.78 73.57 196.48 237.15 109.18 89.62 125.55 26.23 88.72 112.42 46.7 166.88 179.35 118.12 257.3 140.07 164.77 267.57 125.63 341.37 102.83
"L1MC3" 41 47 63 66 46 88.5 62 82.5 50.5 94 55 132 124 19 103.4 32.2 41.75 44.33 81.83 52 89 35 132.7 78
"(GGA)n" 26.05 4.33 50.97 21.97 3.8 37.03 8 22.3 25.3 16.23 14 4.8 25.3 40.9 36.35 12.33 32.58 25.77 24.2 35.33 43.72 12.1 54.07 9.75
"B2_Mm1a" 120.22 109.22 213.2 190.95 175.22 184.3 86.7 213.97 155.12 257.65 87.32 223.9 178.52 80.67 109.57 147.9 126.17 252.12 150.4 196.47 226.87 45.77 342.38 155.3
"U6" 45.4 48 167.57 93.5 115.4 110.57 90.2 180.7 67.6 193.23 58 42 140.93 60.2 161.87 56.1 83.9 145.97 91 164.4 129 69.8 141.5 106
"(CAA)n" 23 21.78 32.1 23.07 9 24.6 26 22 14.2 31.6 39.4 41 56.75 6.2 9 34.6 18.23 51.7 50.33 11.3 23.1 0 47.42 5
"ORR1A0" 15.8 3 12.93 6.5 18.43 6.1 13.4 4 12.2 8.8 1.9 1 17.07 3.2 14.82 6.4 10.3 10 7.98 13.4 7.7 12 18 4.2
"L1_Mm" 20.23 22.4 61.78 41.07 16.87 68.87 30.77 80.25 32.43 58.25 24.32 129.18 93.83 45.12 66.88 23.57 35.32 74.07 53.62 49.83 54.63 31.77 57.12 44.53
"MTEa-int" 23.6 17 22.33 22.33 48.33 34.95 0 25 15 58.5 14.67 24 26 0 21 17 29.2 40.5 35 53.5 34.2 24 59.65 28
"IMPB_01" 131.3 47.23 411.68 160.85 70.58 257.47 107.85 117.55 113.3 178.88 50.82 49.8 78.98 41.97 230 77.85 152.05 126.83 142.82 149.3 216.57 50.35 309.15 111.6
"(CCA)n" 20.43 9.8 12.1 57.6 8.6 55.55 105 40.2 45.12 20.4 9.85 5.5 33.8 26 78 34.4 40.1 50.7 41.85 35.8 111.47 5.9 83.33 29.9
"RLTR20C2_MM" 18.75 16.73 21.6 9.18 9.25 23.5 39 31 11.65 35.9 22 29.4 38.1 2 8 1.3 14.03 13 23 22.73 14.55 21 38.2 15.23
"LTR16E1" 1 0 10 0 0 3 0 0 9 4 0 4 3 0 55 1.5 1.5 0 2 0 1 6 6 3
"RMER17A" 13.6 6.2 24.25 17.75 2 20.2 0.4 9.93 11.9 13.67 3.75 16 13 6.4 4 9.2 13.1 22.8 23.1 11.8 15.82 5 13.52 16.9
"(ATG)n" 13.5 11.4 77.3 26.9 35.53 39.65 82.2 23.37 28.5 44.4 27 44.2 43.6 12.2 22.3 20.07 28.37 34.1 17.75 32.5 48.7 18.27 50.93 9.8
"L1ME3F" 3 4 0 4 2 16 0 9 7 16 5 2 6 1 0 16 2 64.5 3 0.2 12.5 0 12 2
"(GGAA)n" 1 1 12.93 5.2 0 5.75 0 2.8 3.4 4.53 5.7 3 8.2 0 6.5 3 5.8 4 3.2 0 7.5 5 6.6 3
"Tigger7" 65 68 148 60 136 141 0 146.5 53 189 55 162 145.2 22 97 60 75.4 65 113.7 97 108 29 212.6 84.5
"(TCTA)n" 11.53 12.4 29.6 41.28 20 40.82 180.25 26.23 37.6 56.25 30.4 26.8 52.87 1 98 19.6 28.67 34 49.15 38.55 62.5 32.6 73.42 4.63
"RMER30" 91 38.5 193 191 82 185.67 95 113 89.5 135 30 76 106 88 0 124 166 159 169 144 309 78 318.5 169
"(TTC)n" 4.3 1.07 0.2 2.73 3.5 2.8 0 1.6 5 6.7 0.9 1.4 1.45 3.47 0 10.03 8.4 1 4.67 13.8 8.9 1 2.87 2.2
"ORR1B1" 787.76 218.78 747.66 961.96 1066.81 1131.54 1014.93 530.18 635.61 550.4 126.4 531.87 584.43 197.27 450.2 513.01 1046.46 963.26 732.58 1101.37 1207.89 712.99 1274.37 584.68
"Lx4A" 217.67 144 331.7 133.78 226 245.1 262.73 226.53 129.33 264.32 67.63 203.67 227.82 100.4 209.5 112.57 151.8 251.1 231.52 211.17 219.63 188.2 335.43 119.15
"RLTR20C1_MM" 25.5 4.2 17.43 22.72 25.15 35.65 31.33 79.7 20.95 32.7 29.03 42 50.4 27.7 3.4 12.17 28.4 17.75 17.8 27.1 29.42 0 28.13 25.53
"L2a" 472.5 230.83 1126.67 1082.27 595.67 1044.45 1229.63 727.67 631.75 924.83 246.5 675 786.17 334.03 582.17 830.97 873.47 1534.33 1072.92 758.2 1598.37 512.83 1689.28 959.23
"(TTTA)n" 5.5 14 46.2 24.35 5.4 30 1.4 15 10.2 19.4 8 46.4 47.6 7.4 8 14.7 15.2 14.4 10.47 28 37.4 4.5 40.5 34
"C-rich" 60.9 26.33 235.6 115.68 100.6 123.65 19.83 47 76.25 90.98 42 43 76.52 36.33 42.33 113.2 90.4 51.93 99.47 117 195.1 129 190.33 87.43
"RMER17C2" 12.4 3.5 34.7 8.5 0 20.9 0 6.2 6.8 11.65 2 9.73 6.93 0 7.5 2.2 14.1 0.2 8.95 20.2 14.7 18 34.8 11.2
"RLTR31D_MM" 15.67 8.2 33.35 22.37 17 28.43 0 30.5 25.7 35.03 10 28.75 65.9 3.2 79 1.5 21.9 2.5 45.98 22.17 30.6 47.5 75.4 31.4
"RLTR18B" 7.8 14 23 37.2 17.5 23.4 44 19 13 31 33.5 0 23.67 0 9 15.5 5 21 26.33 40 11.67 4 35.5 6
"(G)n" 7 0 0 0 0 1 0 0 1.2 0 0 0 0 0 0 2 0 0 3 0 0 3 0.4 0
"(GAA)n" 2.5 4.53 11.27 20.4 0.5 17.1 0 18.4 5.97 15.6 8.2 18.2 9.8 18.15 21.75 14.73 7.53 10.4 22.4 12.2 41.72 5.4 25.65 6
"RMER13A2" 13 6 56.8 12 29 26.75 18.4 37.2 29.5 38 9 35 18 29 68 16.2 14.58 66 26 16 25 1 59.8 22.5
"ORR1G" 97 29 85.75 169 93 159.5 429 182 123 120 27.05 55 76.17 36 169 132.4 140.33 146 156 199.5 224 55 329.25 141
"X5B_LINE" 0 0 0 1 0 0 57 0 2 0 0 0 0 0 0 0 2 0 2 0 0 0 3 0
"RMER13A" 10 8 21.5 11 10 20.9 0 15 11 31.13 5 26 28 10 19 3 5.8 19.2 11.17 12 22 0.5 30 30
"L1MB8" 100.33 65.3 126.2 102.5 100 142.45 0 123.5 100.42 197.95 62 344.5 133.5 48 79 71 111.2 136.9 152.83 100 155.23 101 293.07 69
"MER20" 507.5 141.33 725 897.5 392 782 971 589 562.33 433.53 149 165 367 185.83 548 905.5 856.58 501.67 686 606.67 1184.5 381 1607.5 628.33
"MTEb" 259.2 77.48 301.17 485.57 192.2 424.22 726 207.25 283.4 364.8 82 108.8 205.98 77.2 221.5 341.07 325.63 390.75 319.85 231.35 620.35 200.4 612.55 308.4
"MLT1M" 4 6 8 1 5 5 0 7 4 1 5 16 3 0 0 0 0 0 3 0 8 15 3 0
"(TGGG)n" 0 0 0 3 0 5.2 0 0 4 0 0 8 2.33 0 4 0 1 14 0 18 10.67 0 3 0
"MLTR11B" 30 17.5 13 22 32.4 39 0 17 33 54 16 23 23 11 41 12.5 24 74 28.25 36 32.2 15 56.2 15
"(CATG)n" 0 0 6 1 1.6 3 0 0 1.5 4 0 0 2 0 0 0 0 1 2 8 2 0 0 1
"RLTR20A4" 657.67 81.6 803.48 404.32 193.25 932.15 208.2 230.83 265.72 527.27 54 64.83 81.53 75.7 230.9 376.87 290.72 393.2 320.23 340.97 723.87 272.9 896.65 491.82
"(AACTG)n" 0 1 6 1 0 4 0 0 2 0 0 0 0 0 0 0 4 0 0 0 3 0 2 3
"(TTTTTG)n" 28 13 43.25 48.9 3 45.07 20 43.53 35.75 42.18 23 46 46.87 15.8 58.2 45.33 38.77 74.45 56.5 44.7 71.12 14 106.6 110.8
"RLTR16C_MM" 12 5 5 2 9 1 0 13 4 38 1 7 19 0 0 0 8 0.5 4 1.5 7 2 33 13
"(TCTCTG)n" 9.5 1.95 47.8 8.4 2 26.52 0 3 18.7 19.8 5.73 22.2 10.6 27.2 0 8 22.85 18 15 1.6 25.05 24.8 26.8 16.6
"MER121" 2 1 22 3.5 8 1 0 1.5 8 6 1 0 4 0 0 3 3 0 2 0 2 0 9 10.33
"RMER16A2" 6 1 12 3.33 7.25 4.85 0 0 1 4 0 2.5 0 0 0 7 2.6 0 2.5 0 6 0 13.2 4.2
"L1M2a" 0 5 25 0.33 0 3 0 11 0 6 0 0 3 20 0 0 0 0 11 0 5 4 4 7
"IAPLTR2a2_Mm" 3.47 0 15.6 12.05 0 4.2 0 4.07 7.98 1.6 1.2 1 4.25 0 0.33 13.2 5.2 9.03 5.63 3 4.7 0 14.5 4.6
"L1MD" 229.9 53.5 236.2 337.5 177.5 313.2 888 232.6 184 245 65 213 211 85 74.5 253.33 243.23 255 236.7 350.8 461.5 69 519.03 185.5
"RLTR4_MM-int" 1011.16 1107.54 1667.35 927.03 1126.26 959.86 666.46 948.51 766.64 2095.87 626.78 1974.04 1576.49 763.54 1344.64 693.03 781.08 1290.54 1442.8 1027.29 1038.42 597.91 3590.37 1038.11
"(TGAA)n" 166.33 53.7 188.27 650.48 102.37 376.5 301.2 306.73 201.7 239.2 76.7 45 169.93 99 96 497.3 370.75 363.6 363.03 484.5 708.78 99.2 574.2 303.7
"MLTR14" 512 107.5 669 927.75 297 740.5 380 482 435 358.5 89 154 313 124 333.5 745 552 604 709.33 670 1238.33 415 1166.03 449
"IAPEz-int" 119.3 68.85 299.9 322.8 115 202.28 364.25 179.03 159.4 222.33 63.67 84.8 134.7 55.02 286.5 219.98 302.27 458.4 298.33 271.1 391.6 100.4 356.73 165.63
"RLTR27" 2.2 5.2 0 43.9 20 18 0 31.6 14.17 7 3 12.8 7.2 0 32.5 13.7 22.7 23.4 13.6 7.2 32.13 1.5 11.87 8.4
"(GGGAGA)n" 1.67 0 0 0 0 0.4 0 0.2 0.7 4.33 0 0 0 0.33 0 0 0 0 0 0 0 0 2.2 0
"RLTR20B2" 0.2 11.6 1.2 21.8 22.2 20.7 133 3.8 7 17.6 3 2 5 15.6 30 6.2 4 2 19.1 2 20.2 11 23.2 5
"(TCCA)n" 32.2 4.45 65.15 51.2 19.6 36 1 23.2 30.8 49.5 11 26 37.7 4 0 32.1 26.3 5 35.57 30 63.8 5 51.3 10.5
"RMER12C" 35.85 16.4 39.53 64.43 25.53 74.52 89.2 26.4 53.95 68.55 19.1 11.4 36.12 11.2 38 29.73 59.9 78.6 67.25 66.8 100.9 17.8 94 45.5
"MLT1J-int" 33 7 0 55 22 41 55 12 24 12 8 1 10 8 22 31 28 25 27 39 51 8 78 24
"RLTR1B" 9.13 12 0 6.6 2 10.6 50 3 4.8 4.6 7 45.3 3.5 11 0.8 16 8.2 17.07 6.27 41.8 0.33 0 29 1
"MER63A" 23.5 3 27 20 0 12 0 0 16 6 3 3 5 2.5 0 4 16 0 16 0 14 0 19 11
"L1MA4" 94 80.7 134 118.75 67 185.77 102 137.25 100 161.5 55 183.2 163.5 41 145 90 105.25 204.5 139.03 92.58 178.1 83 242.5 123.5
"MLT1I" 28 12 0.5 15.5 3 23 0 14 7 21 2 36 23 0 25 2 18 7 11 16 22 1.5 19 31
"MLT1H" 22 11 19.5 16.5 3 17.8 32 25.5 10 10.2 15 38 59 48 0 5 28 25.5 22.7 3.2 9 0 57.78 7.4
"MTB" 69.3 78 85.6 73.38 125.02 103.22 149.1 128.78 86.27 126.88 99.2 242.7 230.97 76.7 37.8 73.27 97.35 93.92 102.38 103 93.23 87.13 146.75 57.83
"MTB-int" 6.73 5.4 13.27 21.57 13.9 15.45 1.1 16.8 11.2 33 7 1.6 18.93 6.2 1.8 5.9 10.3 17 20.58 2.4 32.57 13.2 16.63 25.33
"(TTTC)n" 0.85 5.33 13.1 4.77 4 10.18 47.33 15.08 2.87 15.92 3.7 7.6 28.05 1.4 27.9 14.93 7.15 5.2 16.95 12.2 17.32 20 10.7 6.9
"L1ME4c" 25 16.25 59 30 13.33 50 0 29.5 24 42.6 8 20.25 12.4 32 7 33 12 16 31 28 66.5 5 70 31
"MER33" 18 43.1 4 21.5 52 57.15 0 37 18 66.33 12 108 73.6 3 7 12 31.5 54 33.6 12 60 1 78.8 19
"(TCCC)n" 9.7 2 20.2 2.8 0 4.13 0 2.2 3 15.2 0 0 6.2 0 0 6 1.2 0 2 0 3 4 5.67 7.8
"(CTAA)n" 0 0 1 3 0 0 0 1.33 1 2 0 0 0 0 0 0 1 0 0 1 0 0 4 0
"MADE2" 5 1 0 3 0 0 0 0 0 0 5 9 3 0 0 0 2 12 1 0 2 0 0 4
"MER91A" 14 3 23 18 23.5 14 55 4 16 18 2 51 32 21 14 21 17.5 0 21 12 24 12 45 52
"MER5A1" 129 27 199 170 54 142 467 118 74 100.33 43 87.8 108.5 97 141 134 102 107 87 175 227 31 230.5 72
"RLTR13C2" 4 1 10.4 4.6 20 9.47 0 3 18.38 29.8 8 19 14.1 31 0 8 6 0 9.6 13 8.4 0 14 7
"MLT1N2" 3 9 10 16 0 17 0 11 5.5 16 0 0 5 12 0 1 3 0 13 3 6 0 5 0
"IAPLTR1a_Mm" 8.5 3.4 31 15.1 2.4 9.9 0 5.2 4.3 3.6 3 0 3.65 3 3.4 4.8 8.1 1.6 7.3 21.2 24.2 17.27 9.13 10.4
"RLTR15" 64 29 63 138 56.1 92.2 98 58.5 55.3 117 21 86.58 76 15 111 105 89.33 150 92 62 135.1 62.5 167.1 43.8
"(CAGTG)n" 0 7 0 0 0 0 0 0 0 1.33 0 0.75 6 0 0 0 1 0 3.67 0 0 0 6 2.8
"(TTCC)n" 6.2 6.65 8 17.88 0 16.27 0 2.25 4.48 9 1.5 0.53 14.83 1.2 12 11.87 5 25 13.25 9.9 15.05 2.33 22.6 4.13
"L1MC4" 117 71 214.8 107.4 138 178.1 179 169 102.48 167 51 289.5 202 54 77 99.2 123.33 138.5 147 119 155 137.5 251.83 135.2
"MamRep434" 0 8 22 4 3 17 0 1 5 27 1 16 9 0 0 0 9 3 1 3 15 0 15 0
"L1ME1" 57 48 109.5 40 99 111 15 122.5 69 135.5 63 214 178 41 187 57 68.5 122.2 89.5 73.4 76 137.33 183.7 47
"RLTR24" 520.8 115 811.2 1146.65 346 681.4 1150.2 459 440.3 489.6 84 119.5 250 192 908 894 887.7 1126.2 730.2 700.7 1270.08 394.6 1237.7 570
"BC1_Mm" 69.35 49.5 116.87 84.15 68.17 96.82 148.13 92.63 79.67 170.4 32 172.9 129.53 33 214.33 122.78 108.87 126.22 95.88 125.87 137.95 51.9 255.6 169.43
"LTR90B" 0 0 0 2 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0
"(CCTG)n" 0 0 0 5 0 6 0 2.4 4 12 0 9 11 0 14 2 3.33 17 0 9 13.2 0 4.8 6
"RLTR19-int" 103 34.7 153 143.03 59.67 159.58 184 121 91.57 88.17 27.5 56 85.13 12 51 132 111.57 126 113.1 89.8 141 3 209.43 99.8
"Tigger15a" 2.5 3 16 10 7 30 0 9.5 12 12 3 13 11 0 0 0.5 5 9 12 5 15 23 28.77 7
"LTR33" 7 4 0 8 2 21 0 22 7 10 10 13 7 0 0 1 13 1 12 1 11 0 30.5 9
"(TCCCC)n" 0 0 4 1.2 0 5 0 0 1 1 0 0 0 0 0 1 0.2 0 3 0 0 0 0.33 5.4
"(CTA)n" 0 0 2.6 0 0 4.25 0 0 3.6 10 0 0 19 0 0 0 0 7 3 3 6.6 0 0 0
"(TCC)n" 15.4 9.7 33.07 26.5 16.8 28.38 1.2 18.15 17.88 27.3 27.7 6 52.05 18.53 3.95 20.88 48.5 42.4 22.65 17.93 45.8 23.55 56.98 22.6
"MARNA" 1757 369 5391 6215 2239 5421 2966 1440 1544 3114 127 408 1223 432 5256 2638 5669.5 5747 2864 3637 10786 2162 8904 2859
"MLT2C2" 0 1 0 0 12 3 0 0 3 4 0 3 18 0 0 1 2 0 1 17 0.67 0 8 0
"CYRA11_Mm" 0 5 0 4 0 2 0 21 2 0.33 8 0 1 11 0 8 3.25 8 7 12 7 0 10 1
"(ACTAG)n" 2 0 0 0 0 0 0 2 3 0 0 0 0.67 0 0 0 0 0 0 0 0 0 0 0
"MLT1F" 74.33 21 170 234 107 129 69 109 105 108 24 6 77 31 79 129.5 115 172 129.5 126 225 81 267 104
"BGLII" 11.5 11.8 20 32.8 12.4 34 54 34.2 15.5 20.8 22 35 30.87 0 0.2 40.33 26.6 14 27 10 25.7 1 45.33 21.45
"(CTTG)n" 0 0 0 0 0 2.5 0 1 0 0 0 0 9 0 0 0 1 0 0 0 1 0 7.2 0
