# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "piRNA" "-g" "ID" "-s" "0" "-M" "--fraction" "-a" "merge_mm10_piRNAcluster1.gff3" "-o" "counts_piRNA_cluster_s0.txt" "1.sam" "2.sam" "3.sam" "4.sam" "5.sam" "6.sam" "7.sam" "8.sam" "9.sam" "10.sam" "11.sam" "12.sam" "13.sam" "14.sam" "15.sam" "16.sam" "17.sam" "18.sam" "19.sam" "20.sam" "21.sam" "22.sam" "23.sam" "24.sam" 
Geneid	Chr	Start	End	Strand	Length	1.sam	2.sam	3.sam	4.sam	5.sam	6.sam	7.sam	8.sam	9.sam	10.sam	11.sam	12.sam	13.sam	14.sam	15.sam	16.sam	17.sam	18.sam	19.sam	20.sam	21.sam	22.sam	23.sam	24.sam
pi-Ccrn4l	chr3	51224933	51251625	+	26693	0	4	0	2.20	21	10	0	2.80	0	3	2	4	15	0	0	0	4.20	34	0	6	1.33	0	15	7
pi-Cdc42ep3	chr17	79333729	79354890	-	21162	66	18	104	95	69	125.50	81	50	66	87	26	1	40	19	85	139	97.50	136	83	86	185	5	164	69
pi-Cmtm4	chr8	104348211	104395808	-	47598	13	15	19	20	41	29	28	31.20	12	38.20	20.40	12.20	26	9	20	28	20	8	36	14	16	45	70	23
pi-Cramp1l	chr17	24961292	25015587	-	54296	15	8	23	20.25	30	33.50	5	20	23.50	20	11	42	39.60	6	23	11.40	14.20	49	67	30	27.67	1	70	16.40
pi-Crkl	chr16	17451967	17487432	+	35466	28	19	43	30.20	11	22.90	29	11	18.40	40	8	5	18	28	36	46	26	53	17	48.33	35	7	66	33
pi-Ctdsp2	chr10	126978698	126999960	+	21263	20772.00	5168.00	42983.17	22987.67	20050.00	61969.83	13370.83	17530.83	20358.00	15430.83	2880.33	2010.17	6473.33	2855.83	21633.17	27227.33	27799.00	23417.83	21951.00	24284.00	43418.83	34503.50	75534.83	39545.00
pi-D10Wsu102e	chr10	83360241	83488082	+	127842	13.60	1.58	5.80	27.30	9.80	28.83	42	36.93	7.93	20.10	3.67	11.40	20.10	4.10	0	22.80	13.05	1.40	25.40	14.07	13.83	0	53.47	6.60
pi-D730040F13Rik	chr4	56867026	56947483	-	80458	670.07	121.62	810.43	390.62	232.13	338.02	210.00	140.17	171.07	302.33	75.30	148.23	153.02	67.60	282.25	170.67	221.15	557.60	186.82	395.07	511.53	126.07	424.48	181.30
pi-Dcaf7	chr11	106036879	106059322	+	22444	21	13	50	41.50	40	69.90	17	53	46	76	23	12	55	14	75	59	56	62	46	66	84.50	26	88	24
pi-Ddx19b	chr8	111003187	111031723	-	28537	53.00	20	86.50	193.92	108	163.33	116	123.83	86.37	149	24	20	47	20.17	158.50	140.33	168.20	91.33	156.58	217.50	293.57	55.50	227.92	140
pi-Dnmt3a	chr12	3806980	3914443	+	107464	15	12	60.60	34.50	40	60.70	11	66	31.20	62.50	17	38	52	53	76	5	31.20	53	43.15	37	34	27	95.50	27
pi-Eif2c2	chr15	73095849	73185186	-	89338	324.33	80.33	421.43	705.33	282	519.08	369	399.50	390.92	425.33	91	184	201.37	140	376	570.00	558.83	563.33	477.87	549.18	854.75	288	938.17	362.33
pi-Eif4ebp2	chr10	61428492	61452798	-	24307	116.50	36	240	236.50	55	193.50	185	185.50	139.83	114.50	25	58	61.50	65	168	180.50	206.50	165	195	186.50	314.90	87	438.50	183.50
pi-Elk4	chr1	132007618	132031584	+	23967	58	40.80	34	35	89.25	70	0	50	43.50	72	23	80	62.50	39	0	42.80	38	70	43.53	25	53.50	21	130.20	43.60
pi-Exoc8	chr8	124890300	124897776	-	7477	19	4	14	44.25	17.50	40	0	32	28	39	8	9	18	0	31	41	32	10	36	20	60	0	76.15	20
pi-Exog	chr9	119444965	119465504	+	20540	2	1	0	4	2	5	0	0	3	5	4	15	7	9	0	1	3	5	6	0	5	0	11	1
pi-Eya3	chr4	132639088	132724761	+	85674	10.20	15.50	22	14.20	16	22.10	1	17.20	12.33	30	12	24	23.40	33	24	1	23	26	31	26	35	13	42	3
pi-Fam168b	chr1	34813227	34843022	-	29796	27	36.20	127	27	48.20	41	0	15	29	39	16	20	44	53	13	6	30	53	42	53	59.70	39	98.20	35
pi-Fam53b	chr7	132712088	132852628	-	140541	49.20	14.40	84.50	81.50	86	92.50	119	89	39	45.50	30	28	36.50	5	60	76	69.70	91	57.33	38	125.43	4.60	142.70	53
pi-Fbxl18	chr5	142866946	142895212	-	28267	21	3	4	4	0	6	0	8	10	2	2	15.20	6.50	22	0	12	3	0	3	0	11	0	15	10
pi-Fbxo41	chr6	85469578	85502886	-	33309	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0.20	0	0	0
pi-Foxo3	chr10	42181846	42276755	-	94910	49	40	77.50	42	55	61.50	0	61	42.50	43	14	64	90.45	32	60	16	49.40	81	41.70	20	53.20	36	142	66
pi-Fth1	chr19	9982704	9985092	+	2389	82.53	107	160.67	78.00	117	187.33	61	148	157.50	182.33	140.83	112.50	164.50	87.50	189	44.17	119.58	179.67	91.33	132	94.17	43	203.33	139.50
pi-Gabpb2	chr3	95181762	95217980	-	36219	18.50	15	11	21	10	42.20	33	5	17	23	20.20	0	32.40	9	52	8	36	77	21	48	33.80	16.67	49.57	47
pi-Gan	chr8	117158265	117215995	+	57731	126	34	218	245	61	244.40	309	134.50	140.50	137.75	20	7	73	77	71	211.33	190.33	165	138.70	194	340.40	76.53	335.78	160
pi-Gm5878	chr6	85111416	85126094	-	14679	1060.50	206	1022.90	2185.70	645	1765.20	2445.50	1279.50	1155.10	1348.50	229	156.50	602.90	429.50	1168	2004.50	1665	2207.50	1296.50	1818.90	2878	689	2844.50	1413
pi-Gtf3c4	chr2	28822302	28840341	-	18040	20	2	29	21.50	15	34	0	28	12	26	9	11	19	28	76	37	24.50	13	26.50	9	47	0	70	24.20
pi-Hic2	chr16	17233587	17263430	+	29844	19.50	5.20	38	27	1	15	23	3	7	20.50	7	8	10	0	50	22.50	18.20	31	11	22	29	0	45.07	15
pi-Hif1an	chr19	44562848	44576272	+	13425	13	5	13	14	1	20	0	16	4	6	3	17	15	21	0	31	6.50	2	14	35	8	0	19	4
pi-Hinfp	chr9	44292439	44305634	-	13196	5	2	0	5	11.25	8	0	0	11	0.40	6	0	2	2	0	0	9	0	1	7	9	0	14	10
pi-Hist1h1a	chr13	23763668	23764414	+	747	0	1	1	2	5	3	0	0	1	0	3	0	0	0	0	1.00	2	0	0	0	2	0	4	0
pi-Hjurp	chr1	88258856	88277518	-	18663	75	36	70	55.50	19	53	0	41	45	89	14	103	53	29.50	20	13	23	69.50	26	30	70	7	88	51
pi-Hmbox1	chr14	64811602	64949862	-	138261	32.20	51.03	87.80	51.50	27.50	79.20	0	51.20	40.20	83.20	20	56	72.40	32	97	41	42.10	26.80	63	82.20	59	34.67	135.80	49.73
pi-Igf2bp1	chr11	95957166	96007888	-	50723	3	0	0.78	0.45	1.10	1.40	0	0.53	0.25	0	0	0.20	0.20	1	0	2.63	0.40	11.13	0.20	12.40	1.55	3.20	1.40	0.60
pi-Igsf9b	chr9	27299245	27357729	+	58485	2	0	12	8	4	11	0	6	6	10	1	1	7	0	0	4	7	0	6	16	14	0	10	1
pi-Il17rd	chr14	27039033	27107286	+	68254	1	0	26	6	4	8.50	0	18	3.40	14	6	0	8	0	0	14.20	5	11	17.33	0	1.25	8	11.40	8
pi-Ing5	chr1	93803500	93822102	+	18603	2	3	27	14	23.20	13.85	1	11	13.73	7.20	1	6	2	0	0	10	14	14	7.67	12	20	6	7	21
pi-Ip6k	chr9	107995743	108048780	+	53038	44	26	55	50.40	49	72.20	111	64.40	45	77.00	20	35.25	59.20	30	47	61.20	48	66	40	21	57.20	13.40	82.80	35
pi-Ipmk	chr10	71344913	71385881	+	40969	42	11	40.50	59.00	27	49.40	45	32.20	37.70	23	16	19	36	1	36	40.50	52.50	60	45	78.50	86	40	73.50	26
pi-Kcng3	chr17	83574024	83632446	-	58423	0	4.20	19.00	2	11.60	7.20	32	0	9	2	0	0.40	16.40	12	0	6	4.40	3.50	2.20	8	4	0	31.20	4
pi-Kctd7	chr5	130144922	130155114	+	10193	93.50	20.50	78	193.50	105.50	160	258	93	105	77.20	35	24	63	29	159	167	150.50	129	113.50	127	252.50	61.50	232.50	116
pi-Klf13	chr7	63886351	63938875	-	52525	24	20.50	46	19	44	51	0	32.40	23	36.67	18	27	43.33	1	35	21.50	38.83	50	30.33	69.70	21.40	19	57.60	34.50
pi-Klhl11	chr11	100457125	100472782	-	15658	56.60	23	131.50	131.50	71.80	131.87	149	82	74	141	16	28	66.67	11.20	58	123	134.67	210.60	155	76.90	217.00	28	298.20	165
pi-Lpp	chr16	24393446	24992575	+	599130	710.12	249.65	872.87	501.63	573.00	1068.07	430.50	563.28	367.10	647.83	179.58	277.00	310.90	150.20	564.40	436.30	506.05	577.47	579.07	669.00	734.18	790.00	1463.95	1078.82
pi-Lsmd1	chr11	69395817	69396674	+	858	5	2	0	1	12	4	0	4	6	2	0	0	8	13	0	2	2	12	2	0	8	14	6	0
pi-Luzp1	chr4	136469764	136554782	+	85019	1075.44	442.30	1066.47	630.21	1010.85	798.39	728.09	795.29	515.40	1960.65	248.27	438.45	882.21	322.20	1820.66	336.33	769.91	2091.54	460.26	540.99	620.31	244.56	894.72	409.43
pi-Mafg	chr11	120625128	120633954	-	8827	4	0	7	0	14	13.33	0	9	4	19	1	12	17	1	1	11	2.33	0	7	0	7	0	25.00	5
pi-Map3k9	chr12	81714960	81781170	-	66211	3	5	8	3	4	12.03	0	0.80	1	26	0	2	7	0	0	0	3	0	4	2	9	0	3	1
pi-March08	chr6	116338022	116409533	+	71512	40.07	63.77	61.43	24.80	33.73	53.08	76.20	31.67	48.52	105.53	36.60	47.83	56.67	35.00	15	7.67	35.20	28.00	46.83	41.27	45.43	6.67	121.23	25.77
pi-Mcart1	chr4	45395925	45408922	-	12998	22	4	9	13.50	15.50	23.75	0	17	12	5	12.50	7	20.50	3.50	0	6.50	17	28	9	12	44	9	41	14.50
pi-Mgll	chr6	88724470	88828357	+	103888	81	29	91.50	90	69	95.70	0	53	54	99	44	54	61	32	63	47	74.33	60	88	62	142	44	224	75
pi-Mlc1	chr15	88955891	88982677	-	26787	84.67	29.50	97	172.17	23	135.87	196	45	53	57.40	8	2	31.50	23	0	134.33	129	46	67	96.25	192.45	10	206.58	25.33
pi-Mlec	chr5	115142982	115158216	-	15235	35.33	48.25	135	61	28	85	71	61	44	53	28	73	80	35	75	44	64	57	63	50	94.50	51	163.50	38
pi-Mllt6	chr11	97663217	97685443	+	22227	9	13	42	15	41	35	0	19	15	28	7	0	34	5	0	11	14	3	30	1	8	16	45.40	8
pi-Mrs2	chr13	24987484	25020304	-	32821	30.40	22.40	39.60	79.40	30.20	57.90	171.20	75.70	40.80	52.75	17.20	8.20	31.40	22	39.60	93.40	56.20	91.00	84.40	48.80	88.70	65.40	130.10	63.20
pi-Ndst1	chr18	60684495	60748654	-	64160	3	6	19	8	12	26.25	0	21	12	41	23	16	1	8	4	4.20	18	22	19	14	6	0	76.50	20
pi-Nr2c2	chr6	92091402	92173057	+	81656	134.40	32	128	242.50	126.60	157.67	621.67	168.50	131.70	174.87	69	74.50	125.33	73	54	238	198	192	194	170.00	342.60	101	335.70	132
pi-Nsd1	chr13	55212057	55318324	+	106268	32	35.40	129	74.10	92.20	103.32	117	93.77	55.60	139.10	28	159.60	124.20	32	111	61.20	67.60	107	64.60	31.40	62.03	24	220.10	76.95
pi-Phf20	chr2	156196658	156309951	+	113294	9.00	27.20	21.80	34.07	9.90	36.33	1.40	11.40	15.13	68.53	9.40	41.70	30.73	2.20	42.20	7	21.63	18.50	23.20	43.85	3.30	2.90	53.47	37.40
pi-Pou6f1	chr15	100575319	100580234	-	4916	35	18	44	91	30	77	244	46	54	65	13	1	25	4	49	80	89	119	63	80	94	25	134	29
pi-Ppm1f	chr16	16896457	16927358	+	30902	3	10	0	15.20	10	15.70	0	7	4	13	6	0	4	1	49	20	8	3	4	7	11	0	13	7
pi-Ppp1r12b	chr1	134754665	134955950	-	201286	16	39	47	31.83	26.67	82	32	53.03	31.65	127.50	47	82	65	19	24	42	46.95	127.50	41.60	64.00	41.80	55	107.85	43.50
pi-Ppp1r15b	chr1	133131138	133139782	+	8645	9	14.25	48	18.20	21	20.50	0	7	12	25	13	4	5	19	92	17	22	60	21	11.00	23	0	40	4
pi-Rab11fip4	chr11	79591212	79698022	+	106811	36	16	24	31.75	43	37	3	20	27	45	19	26.50	38	11	0	23	44	21	47	37	47.20	28.50	145	53
pi-Rad54l2	chr9	106688082	106789172	-	101091	10.33	20.40	23.00	17.73	43	25.50	9	15	21.87	54.20	8	43	44.33	0.20	39	11	20.37	37	19.20	4.60	22.90	0	73.45	21
pi-Rc3h1	chr1	160906384	160974973	+	68590	58	18.20	64	58.70	30	99.20	299	36.93	51.20	82.20	22.20	25.80	47.20	69	83	115.40	68.00	207.40	72.70	107.50	101.25	32	104.20	69.40
pi-Rcan3	chr4	135412308	135433791	-	21484	64	17	175	71	53	169	15	27	34	68	12	21	13.20	10	36	50	48	54	52	54	95	27	188	80
pi-Rnf169	chr7	99920257	99980458	-	60202	26	22	54	45.75	21	60.87	3	31.67	32	77.83	15	29.50	32	1	62	36	49.00	30	61.83	21	44	19	49.75	44
pi-Rplp1	chr9	61913286	61914541	-	1256	30.13	31.60	40.87	13.53	38.02	17.53	30	29.80	18.27	51.07	16.53	20.67	23.77	12.77	4.67	11	16.40	37.20	25.70	47.07	35.13	2.30	72.47	11.43
pi-Shank3	chr15	89499857	89560260	+	60404	1	7	0	4	1	9	42	21	6	34	8	10	13	0	0	0	6	5	4.20	4	3	5	10	8
pi-Slc43a2	chr11	75531717	75577567	+	45851	28	16	16	40.50	43.50	50.50	162	65	24.40	48	11	13	21	25	57	30	43.25	58	63.45	63	64.33	35	86.67	27
pi-Smcr8	chr11	60777538	60788285	+	10748	10	18	5	12	12	22.67	0	3	21	9	1	6	16	10	8	19	21	2	2	11	8	9	31	24
pi-Snx30	chr4	59805650	59904740	+	99091	19	28	52.00	29.25	36	50.50	91	26.50	18.50	29	4	32	44.50	15	0	7	20.20	17	26	7	25.33	0	57.90	10.50
pi-Socs7	chr11	97362328	97398541	+	36214	18	14	74	25	4	28	0	32.40	14	2	13	27	10	0	72	15	25	38	18	13	16	5	49.70	11
pi-Ssh1	chr5	113937100	113993758	-	56659	5	8.50	45	15.75	3	12	8	21.33	14	18	19	22	7	27	0	3	8.25	39	17	7	34	5	45	18
pi-Strbp	chr2	37569877	37703370	-	133494	73	37.60	32.80	145.90	54.80	125.50	156.33	102.90	98.90	104.20	33	112	85.50	26.40	54.20	111.00	104.33	118.13	119.40	116	201.40	95	250.25	94
pi-Tacc1	chr8	25154553	25203880	-	49328	76	35.33	103	109.80	113	115.70	118	113	68.50	105.70	48	21	99.50	30.50	106.60	89.60	113.33	114	100.70	82	143	66	218	100
pi-Tbl2	chr5	135149165	135163872	+	14708	488	65	418	824	243.67	573.20	1321	501	347.60	352.20	63	64	229	253	428.90	783	604.20	692	451.50	651	1009.67	288	983.67	412.40
pi-Tef	chr15	81802718	81826859	+	24142	6	16	60	20	20	45	132	38	15	44	9	51	29.20	18	9.80	15	23	27	22.50	41	28	6	38.95	33.20
pi-Tet3	chr6	83362374	83455516	-	93143	25	36	31	38	78	68.33	0	74.50	44	45	19	100.50	128	32	104	35	36	55	75	10.80	52.17	48	124.50	30
pi-Tfcp2l1	chr1	118627945	118685162	+	57218	14	6	34	26	15	13.50	0	14	17	33.20	1.50	28.00	36	2	0	12	15.25	18.80	45.20	5	51	5.20	43.90	18.20
pi-Tktl2	chr8	66511738	66519199	+	7462	22	3	0	31	2	24	0	20	20	5	2	0	6	0	20	26	27	0	34	43	49	0	50	7
pi-Tmem194	chr10	127667200	127701048	+	33849	527.50	81	559	1134.50	386.00	842.20	1493	596.60	543.70	448	137	68	253	181	421	936	830.70	785	755.00	757	1525.50	371	1504	550
pi-Trim71	chr9	114507222	114564369	-	57148	0	0	0	1	0	0.20	0	0	0.50	0	1	0	0	0	0	0	0.25	0	0	0	0.40	0	0	1.60
pi-Uhmk1	chr1	170193431	170215410	-	21980	34	10.50	27	39	36.50	37	79	19	22	22	13	0	29	12	4	25	31	38	42	34	51.25	26	47.20	44
pi-Uhrf1bp1	chr17	27856507	27900040	+	43534	9.50	10	22	5.50	0	4	29	10	7	8	18	13	4	0	0	2	1	0	7	12	9	1	22.20	1
pi-Wdfy3	chr5	101832960	102069932	-	236973	220	78	297.20	445.20	163.20	433	485	289.20	263.40	281.60	93.50	117	162	82	281	412.50	356.25	456.50	355	305	606	141.50	806.93	293.40
pi-Wipf2	chr11	98863633	98905578	+	41946	5.20	10	36	5	4	10.65	0	11	7	9	2	26	8.40	0	0	2	12	0	19	18	13.20	0.67	26	5
pi-Zbtb37	chr1	161002922	161034827	-	31906	33	14	46	61	29	70	0	33	37	71	15	35	22.40	46	53	56	51	28	49	85	72.53	69	74.20	49
pi-Zbtb49	chr5	38200252	38220389	-	20138	3	1	0	3	11	7	0	6	3	4	2	0	15.20	0	0	0	10	8	1	8	16	0	13	8
pi-Zdhhc23	chr16	43964766	43979755	-	14990	5	1	36	25.33	0	19	0	25	5	7	2	0	3	0	34	12	13	9	7	6	16	3	29	7
pi-Zfp280b	chr10	76032656	76042969	+	10314	15.00	6.17	14	42.83	4.67	28.33	55	25.83	18.33	18.00	0	0	18.50	5	0	29.17	28.58	22.37	24.17	35.50	41.50	0	33.30	29.67
pi-Zfp346	chr13	55105322	55135057	+	29736	8	5	6	33	6	13	28	15.40	16	7	20	1	13	0	63	13.20	12	0.20	18.20	17	33.20	0	28.40	18.60
pi-Zfp382	chr7	30121924	30140747	+	18824	220.70	51	362	592.53	207	416.50	917	339.25	274.83	293.33	67.20	32	124	88.10	249	447.50	461.10	317.50	355.90	309.50	806.80	208.50	743.80	347.50
pi-Zfp652	chr11	95712632	95772350	+	59719	118.40	43	105	232.90	110	200.60	348	113.40	128.45	148.50	45	9.20	94.20	41	95	213	142	115	150.33	137	258.90	45	344.53	192.20
pi-Zfp866	chr8	69761326	69774895	-	13570	2	0.25	19	1	0	11.90	0	3	8	4	1	0	4.50	0	0	6	7	34	12	4	6.50	15	25	3
pi-Zmat3	chr3	32334794	32365665	-	30872	39	5	39.20	78.00	23	69.90	119	26	44.40	57	9	5	30	17	76	56	58	58	55	34.60	135.20	11	105	64.20
pi-Zyg11a	chr4	108175242	108217922	-	42681	18.45	1	0	10	15	6.40	0.67	0	1	9	2	9	8	8	35	0.20	6.50	2	13	3	4.20	0	32.50	0
pi-Zyg11b	chr4	108227755	108301090	-	73336	32	32.20	26.40	27.58	41	57.08	65	39	25.70	50.20	21.50	53	33.50	33	23	23	30.50	11	19	28.60	38	9	71.50	25.80
